node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,35.714417,85.349765,135.983519,209.762397,254.573204,297.322952,362.797784,438.970833,481.756854,552.401547,0.000000,70.166527,151.804606,196.055086,261.874648,309.020402,394.312272,433.248506,514.134534,548.799297,83.818789,93.448528,173.116531,214.646627,283.153680,321.367628,366.224660,455.464828,529.027919,553.449622,144.367515,159.201196,178.847326,258.994055,299.266483,330.528979,393.005195,480.575009,529.560139,583.981353,201.539242,230.053610,253.593117,282.335344,355.575126,397.357647,430.509655,506.748362,535.708384,620.100785,236.420563,261.752445,294.112455,325.681110,377.179135,415.082860,484.514793,518.734487,589.428096,632.586158,301.611867,324.602481,348.645897,379.885073,428.094887,482.342365,505.277612,559.418388,608.531924,647.876483,362.423718,374.737641,427.304754,449.819469,480.214556,518.615867,552.726518,616.074472,644.187902,704.056168,444.895086,445.338669,470.462100,506.448469,529.285934,575.625246,593.159149,642.899777,697.608368,748.439723,507.009788,501.429252,512.679599,547.463341,558.168636,614.868166,658.413257,699.812167,747.960547,767.800642
11,73.368726,61.555256,83.176504,148.014689,189.531733,230.041687,295.586423,369.909474,413.192113,483.917444,70.166527,0.000000,82.111251,126.840637,192.071909,238.917363,324.556542,363.271992,444.325004,478.745279,95.096610,52.261165,109.437793,145.651181,214.822084,252.002035,296.198241,385.318548,459.006588,483.331824,143.366520,129.820424,127.201924,199.389385,234.286631,263.503555,325.325025,412.363556,460.648338,514.417353,195.255390,199.914596,213.637711,232.806043,296.468820,335.077441,366.090627,440.187455,467.843362,551.555016,235.235938,239.284456,261.770951,275.071780,325.877953,358.106285,422.984406,454.155401,523.558674,566.450767,289.480823,301.705928,311.627940,340.914204,378.791891,427.503520,448.594922,499.732955,546.499287,583.759521,354.020036,356.430388,395.567347,411.283302,436.631437,468.286374,496.298933,557.687330,585.077653,642.772839,434.699968,426.407908,441.274796,469.878692,485.904172,528.020325,541.112219,589.911010,639.667746,688.085420,497.833582,481.366891,483.844020,512.581462,520.431381,571.314743,608.950767,648.507466,692.799409,710.100001
12,153.209153,117.268491,88.002157,104.716693,130.773778,162.068929,226.047476,294.196889,338.674177,409.271355,151.804606,82.111251,0.000000,57.988128,115.306278,159.444012,246.616671,284.150312,365.759497,398.990775,147.328405,83.007862,46.138404,63.928435,133.448572,169.900679,214.525181,304.114732,377.291907,401.911453,170.421991,127.194483,87.964620,132.372936,157.082069,183.295013,244.224731,330.739919,378.638418,432.322667,206.502999,180.185601,177.728274,180.192102,226.426737,260.095614,288.242000,359.852483,386.412877,469.682350,247.163300,224.945060,232.055467,218.209404,266.034124,289.740219,348.129027,375.732147,443.704614,486.298602,283.666698,281.560628,272.182909,297.449071,320.224611,360.847828,379.386372,426.524992,470.450654,505.458138,348.780239,338.994647,359.536829,366.006177,384.231709,406.757011,426.955888,485.637521,512.078074,567.214941,424.041717,405.415119,407.074527,425.684049,432.832102,469.100692,476.644918,523.926708,567.734830,613.379421,486.579341,457.393858,449.006849,469.647996,473.819905,516.837670,546.992129,584.098946,623.743773,638.170638
13,188.758991,138.791365,87.757794,57.468741,73.135964,105.311103,170.288593,243.081929,286.413391,357.150423,196.055086,126.840637,57.988128,0.000000,66.609958,115.355619,198.484679,237.947482,318.314912,353.705236,204.005906,139.952863,88.939627,60.714811,116.744785,141.914621,177.538207,263.475316,338.664588,361.602623,228.176559,182.248199,135.007800,149.631969,153.294277,168.194614,222.442618,304.061998,347.922492,397.383888,261.872359,227.475537,217.323091,207.844606,231.364041,255.028179,275.947157,338.755331,360.181275,439.718031,302.016428,272.572641,272.342821,239.483731,281.986682,294.459686,340.808347,360.122930,423.175493,464.411712,332.966891,325.069909,305.103573,326.721491,335.678631,365.927404,380.606232,420.757641,458.916354,488.618561,397.228951,382.534821,392.397588,392.156025,404.064933,417.058793,427.145973,480.984342,505.603697,555.731309,469.403329,446.169618,440.248266,451.557246,451.175787,481.209881,482.465086,527.318154,562.443328,603.126904,531.068142,495.908701,481.144204,495.831202,497.085261,532.723570,554.893152,588.819954,622.203972,632.346961
14,255.368635,204.432190,150.391993,91.300265,62.716430,58.049750,114.382313,178.949932,223.374214,293.966106,261.874648,192.071909,115.306278,66.609958,0.000000,49.227041,132.484663,171.503605,252.271500,287.219110,261.735632,197.611847,126.360661,73.397154,80.555877,87.364570,113.467884,197.231886,272.697922,295.247916,276.419090,223.277105,167.605303,145.667935,124.422517,124.374473,168.138602,243.978638,285.029889,332.396024,300.818028,252.493839,232.019835,208.247219,203.425947,214.995775,228.014423,282.028150,299.728424,376.692095,338.711709,296.058932,284.767985,229.618843,263.289594,262.723620,295.526959,307.272030,365.859910,405.862284,357.443568,340.204275,306.057115,322.104067,314.121557,332.149705,342.549549,375.308714,408.016913,433.360697,418.786420,396.176892,390.434671,381.562878,385.551064,387.560987,387.147907,435.700549,458.446123,504.012621,484.403399,454.228156,437.629357,439.281689,429.913896,452.471089,447.137731,488.992367,515.778023,552.060588,543.795163,499.818179,476.384516,483.156991,480.815201,507.372770,520.748513,551.148190,578.373732,584.714211
15,303.914389,253.620712,199.508607,136.651734,98.018985,66.005057,92.340252,137.926146,183.493936,253.033938,309.020402,238.917363,159.444012,115.355619,49.227041,0.000000,87.889995,124.711729,206.341559,239.863738,302.669676,239.459774,161.050672,106.007244,74.435737,55.280189,65.395939,148.135445,223.496809,246.247051,310.845019,254.442837,196.417754,153.042531,114.491760,99.318489,128.435153,197.811841,236.846232,283.264958,328.580911,272.296499,245.689777,213.134409,186.230183,186.659570,192.238009,238.078823,253.005736,328.304873,364.212301,313.413040,294.722159,225.527057,250.740219,239.649356,260.496272,266.059457,320.979326,360.023056,374.056164,350.541096,307.010324,318.444562,297.690230,305.665251,312.499984,339.089153,367.466846,389.613636,432.272417,404.305105,387.206477,372.034841,369.933157,363.475975,354.975685,399.085667,420.306700,462.426586,492.255754,457.375132,433.124837,427.534397,411.514144,428.130551,417.877880,457.134953,477.687140,510.758282,549.352969,499.336181,469.759372,470.546431,465.539997,485.025994,491.751121,519.361707,542.016813,545.664670
16,386.614434,333.152188,276.461326,204.833147,157.647949,110.362446,69.474400,52.163885,97.664748,165.776864,394.312272,324.556542,246.616671,198.484679,132.484663,87.889995,0.000000,40.962782,119.838553,155.916487,390.559554,327.281487,248.463574,193.598321,148.832702,110.042186,65.207216,79.590282,152.814094,170.821128,397.446391,340.063980,281.659051,226.856639,176.990506,145.848094,133.408009,162.259206,184.246493,217.249885,411.892931,351.006625,320.202202,280.963284,228.792435,209.063220,196.092736,209.275630,209.452571,270.147453,445.805623,389.448496,364.445483,282.760728,294.867173,266.902542,259.281819,245.614136,283.131697,316.358260,448.507554,419.349185,366.558155,371.781242,332.919521,321.610138,320.225553,329.897380,344.059017,354.057823,502.978475,469.756850,439.026671,415.240241,403.447879,381.622681,355.600583,386.440001,402.633982,432.848441,556.109051,516.062396,482.087688,465.706123,438.811902,443.551148,423.049756,455.099204,458.681937,481.158846,609.795628,552.645128,514.888618,506.303175,496.925117,502.958752,495.543975,516.061565,526.595913,522.511821
17,426.494139,373.605999,317.142133,245.792751,198.575086,151.192633,104.408618,42.063343,76.872176,136.863532,433.248506,363.271992,284.150312,237.947482,171.503605,124.711729,40.962782,0.000000,81.839951,115.766834,426.109536,363.525499,282.580344,228.425159,176.605282,134.661716,83.292379,45.527741,113.508368,130.198561,429.630007,371.259697,312.841180,251.211729,197.911830,162.574244,133.506174,138.502581,151.177717,178.515819,440.431185,376.352790,343.153307,300.748316,237.849543,209.864353,189.082772,185.991168,179.457819,233.288069,472.686113,412.612217,383.924927,296.977095,302.266686,267.177347,246.613032,224.660936,253.622711,284.043679,470.143075,437.675959,380.294194,382.152051,335.032895,314.893975,309.755822,311.590817,319.378853,324.343583,521.810289,485.630745,447.670270,419.770322,403.376006,374.635049,341.120016,365.623654,379.479680,404.596614,570.411869,527.678768,488.760756,467.069946,435.230549,434.345673,409.478550,437.942820,434.362352,452.507466,621.789871,561.019273,519.257472,506.034718,494.615197,494.220644,480.500926,497.747622,503.153457,496.036089
18,506.225543,452.057132,394.839526,321.296327,273.096433,225.458368,167.844887,82.034794,61.126729,70.585089,514.134534,444.325004,365.759497,318.314912,252.271500,206.341559,119.838553,81.839951,0.000000,40.908512,507.922416,445.362338,364.228925,310.222041,256.421424,213.728724,161.682318,81.138968,81.463341,79.035140,510.483834,451.746271,393.455170,328.158216,273.247083,235.822463,193.099617,158.369027,141.445228,137.621212,519.206740,453.047122,418.118213,373.369250,300.863241,264.014944,233.542569,199.488159,175.506638,197.709628,550.173897,487.276718,455.335803,364.123290,361.308099,317.762013,277.056306,239.651874,243.829795,263.327887,543.058162,507.441834,445.555238,443.320969,386.015713,352.605551,341.009642,327.036466,319.340433,310.038813,591.549687,552.291525,505.665086,472.452213,449.459557,409.946151,363.388467,373.227662,380.992433,391.823161,634.586631,588.762884,543.529805,514.256077,474.980172,464.159656,431.443392,451.697596,431.389388,437.406231,682.687687,617.446861,570.320781,550.070218,535.467095,523.735888,497.827907,507.682596,500.913340,486.088663
19,542.253482,489.067641,432.273180,359.645869,311.696322,263.999325,208.028561,122.389283,100.264858,83.824677,548.799297,478.745279,398.990775,353.705236,287.219110,239.863738,155.916487,115.766834,40.908512,0.000000,538.726096,477.059769,394.335836,341.330975,283.519765,240.528619,189.079323,100.580046,63.895239,48.554019,537.973418,478.681567,420.847398,351.204480,295.446518,257.031457,207.207794,154.953702,124.879921,105.509407,543.283362,474.924005,438.458625,391.980630,313.501741,272.178388,237.464481,189.493335,158.589228,165.018128,572.528509,506.905909,472.240854,378.576121,370.316728,322.461684,271.981701,228.266323,220.591091,234.810942,560.771376,522.646527,457.778449,452.716581,389.708915,349.428043,334.672981,313.135892,298.422733,283.165372,606.293835,564.794691,512.402782,476.126344,449.469526,404.529940,352.069845,354.765928,359.677404,364.373717,644.816573,597.022812,547.907366,514.263304,471.157221,455.188372,418.930420,435.015949,407.511670,408.598993,690.364784,622.426004,572.211742,547.969435,531.691659,514.024842,482.352744,488.699948,476.708663,458.884613
