node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
6,26,205.578371,CLUSTER_HEAD,3,99.10086745916985
6,1,322.358252,ROOT,0,100.55507322620792
6,10,379.885073,REGISTERED,1,91.10041559949047
6,27,147.784714,,1,100.00014778471353
6,9,191.307839,,1,100.0001913078393
6,2,235.291302,CLUSTER_HEAD,2,104.00029335801285
6,12,226.426737,CLUSTER_HEAD,2,111.11048068864255
6,17,115.766834,REGISTERED,4,112.5947865077723
6,25,140.531519,,1,120.00014053151914
6,18,167.844887,,1,120.00016784488675
6,36,190.855077,,1,120.0001908550766
6,16,69.474400,,1,140.00006947439962
6,8,121.934198,,1,140.00012193419784
6,13,170.288593,,1,140.0001702885935
6,35,183.984715,,1,140.0001839847147
6,23,187.100222,,1,140.0001871002221
6,24,166.751823,,1,160.00016675182331
7,26,207.848530,CLUSTER_HEAD,3,187.00086730493368
7,9,228.411753,REGISTERED,5,187.00088903854424
7,14,228.014423,CLUSTER_HEAD,2,187.0009522765832
8,7,230.778264,CLUSTER_HEAD,4,151.10070237460437
8,27,239.536642,REGISTERED,4,87.00093677154777
8,26,207.848530,CLUSTER_HEAD,3,151.10064868241167
8,15,236.846232,REGISTERED,3,99.1008982850133
8,14,229.618843,CLUSTER_HEAD,2,151.10057137894103
8,9,115.314563,REGISTERED,5,97.16248268065205
8,18,119.838553,REGISTERED,5,107.16238992027947
8,17,115.766834,REGISTERED,4,112.5947865077723
8,25,206.432073,,1,120.00020643207301
8,16,119.838553,REGISTERED,4,122.44417452355628
9,18,70.585089,,1,160.00007058508857
9,17,136.863532,,1,160.00013686353213
9,27,149.442534,,1,160.0001494425344
9,16,165.776864,,1,160.00016577686358
10,11,239.284456,CLUSTER_HEAD,1,176.2909791291345
10,32,196.596751,CLUSTER_HEAD,2,182.59506802797495
10,13,231.364041,REGISTERED,3,169.00081739339367
10,3,237.881438,CLUSTER_HEAD,3,169.00087875533833
