clusterhead_1,clusterhead_2,distance
16,38,210.736515
16,39,269.231509
16,40,472.509083
16,42,352.880357
16,44,257.885640
16,45,218.150886
16,46,232.272967
16,47,235.462307
16,50,539.089681
16,51,462.263490
16,52,407.522220
16,53,343.146593
16,54,300.202032
16,57,291.455234
16,58,364.183760
16,60,539.136838
16,61,492.226798
16,62,447.086747
16,63,424.440249
16,64,390.263109
16,65,366.235580
16,66,389.329970
16,67,396.582666
16,71,551.910373
16,72,536.701113
16,73,459.957693
16,74,469.270032
16,76,430.043285
16,77,457.661613
16,78,493.710572
16,80,668.134100
16,81,587.923085
16,82,550.888877
16,83,542.210074
16,85,513.149948
16,86,525.964807
16,87,546.822939
16,88,571.329900
16,89,584.899824
16,92,627.992749
17,20,506.743436
17,22,370.496156
17,23,298.527447
17,24,208.080413
17,25,143.906012
17,27,80.123356
17,28,130.017043
17,31,456.131298
17,32,372.064497
17,33,336.276273
17,34,251.985886
17,36,167.245413
17,37,170.985806
17,38,192.998354
17,39,249.153744
17,40,529.767983
17,42,408.594204
17,44,308.375800
17,45,260.553291
17,46,255.978534
17,47,249.450845
17,50,596.067406
17,51,518.182688
17,52,461.461141
17,53,394.234401
17,54,344.670330
17,57,303.404390
17,58,363.933147
17,60,595.027485
17,61,546.980760
17,62,498.108947
17,63,473.170415
17,64,430.527659
17,65,402.506648
17,66,416.591511
17,67,412.819454
17,71,604.596033
17,72,585.182265
17,73,504.383877
17,74,507.599438
17,76,452.611603
17,77,475.457035
17,78,497.973232
17,80,719.721963
17,81,637.643947
17,82,597.950543
17,83,584.847433
17,85,545.514282
17,86,548.784537
17,87,565.173302
17,88,581.070059
17,89,587.356181
17,92,671.948031
20,22,139.792990
20,23,223.149529
20,24,315.870320
20,25,391.818557
20,27,524.965419
20,28,600.395543
20,31,98.139808
20,32,173.120798
20,33,225.109600
20,34,302.873920
20,36,444.231821
20,37,540.321334
20,38,618.219235
20,39,670.408599
20,40,136.511844
20,42,249.393341
20,44,347.214669
20,45,413.980121
20,46,510.547734
20,47,549.242287
20,50,231.165404
20,51,252.813837
20,52,295.451205
20,53,337.069725
20,54,404.627647
20,57,587.415423
20,58,684.527088
20,60,286.596897
20,61,300.773409
20,62,361.802224
20,63,388.311398
20,64,468.032744
20,65,490.990943
20,66,565.011683
20,67,633.005083
20,71,379.806784
20,72,444.322102
20,73,456.960493
20,74,524.245880
20,76,618.740642
20,77,665.690637
20,78,764.708877
20,80,477.583180
20,81,455.783685
20,82,472.883744
20,83,522.723265
20,85,602.630342
20,86,682.321147
20,87,727.022785
20,88,797.830850
20,89,848.386675
20,92,563.502581
22,23,84.720147
22,24,176.105715
22,25,252.026120
22,27,385.332515
22,28,460.677756
22,31,95.504131
22,32,66.372692
22,33,106.215746
22,34,167.588622
22,36,306.316631
22,37,402.101231
22,38,479.156757
22,39,532.133677
22,40,179.722094
22,42,172.971979
22,44,229.318322
22,45,286.398083
22,46,380.181349
22,47,416.577722
22,50,270.286044
22,51,236.836194
22,52,239.007174
22,53,246.860620
22,54,294.816925
22,57,458.628197
22,58,555.490382
22,60,300.789621
22,61,284.801067
22,62,307.832660
22,63,319.733173
22,64,374.375411
22,65,387.690668
22,66,456.410689
22,67,516.067223
22,71,366.006607
22,72,404.581365
22,73,386.554167
22,74,442.918773
22,76,510.702797
22,77,555.912568
22,78,645.991024
22,80,480.751826
22,81,432.915712
22,82,430.644194
22,83,464.490494
22,85,517.735493
22,86,584.913518
22,87,625.962629
22,88,688.929524
22,89,733.151119
22,92,523.831826
23,24,94.600600
23,25,170.464867
23,27,304.913238
23,28,379.563322
23,31,158.034881
23,32,75.014119
23,33,60.990508
23,34,84.028543
23,36,221.647790
23,37,317.533373
23,38,395.072870
23,39,447.605981
23,40,232.224603
23,42,152.315022
23,44,159.459672
23,45,206.449429
23,46,297.698559
23,47,332.933275
23,50,307.436916
23,51,247.545834
23,52,221.382561
23,53,200.694338
23,54,228.429046
23,57,376.577870
23,58,473.028539
23,60,321.350482
23,61,288.980174
23,62,283.891512
23,63,284.108510
23,64,317.024018
23,65,322.891584
23,66,386.468032
23,67,440.185278
23,71,364.236542
23,72,383.591571
23,73,345.459403
23,74,391.889295
23,76,440.336987
23,77,483.960162
23,78,568.308878
23,80,483.236781
23,81,421.410872
23,82,406.664295
23,83,428.423728
23,85,462.311434
23,86,520.283637
23,87,558.611093
23,88,616.448722
23,89,656.947288
23,92,497.883729
24,25,76.081391
24,27,210.336655
24,28,285.163141
24,31,251.920990
24,32,165.035030
24,33,128.632734
24,34,54.958223
24,36,136.114238
24,37,229.361205
24,38,304.156829
24,39,358.547133
24,40,322.255081
24,42,208.106731
24,44,145.550432
24,45,154.232058
24,46,228.953389
24,47,257.630193
24,50,388.823537
24,51,315.667973
24,52,269.285711
24,53,219.475781
24,54,209.287950
24,57,307.240698
24,58,400.551609
24,60,392.298279
24,61,349.672969
24,62,319.376638
24,63,306.317014
24,64,305.765459
24,65,298.067949
24,66,348.158410
24,67,386.995263
24,71,416.122041
24,72,415.944237
24,73,356.150162
24,74,386.067053
24,76,399.244830
24,77,438.419335
24,78,508.431434
24,80,534.849764
24,81,461.878011
24,82,434.709306
24,83,441.312437
24,85,446.877005
24,86,487.859462
24,87,520.427539
24,88,567.399319
24,89,599.489564
24,92,520.372811
25,27,134.584241
25,28,209.117806
25,31,326.849882
25,32,238.646662
25,33,197.159772
25,34,109.496446
25,36,76.524611
25,37,159.591009
25,38,230.479676
25,39,286.322191
25,40,394.265003
25,42,264.916889
25,44,168.903391
25,45,139.391914
25,46,183.459736
25,47,202.535854
25,50,454.709374
