source_id,target_id,distance
1,60,350.725204
1,61,363.174490
1,62,370.931897
1,63,399.483225
1,64,432.491789
1,65,476.890738
1,66,496.177499
1,67,543.789836
1,68,587.227075
1,69,620.986273
1,70,415.032504
1,71,417.985235
1,72,455.770135
1,73,469.661664
1,74,492.959998
1,75,520.778653
1,76,543.818376
1,77,602.889637
1,78,629.342058
1,79,684.080397
1,80,495.987352
1,81,487.941032
1,82,501.838917
1,83,528.670378
1,84,542.114354
1,85,581.911394
1,86,592.056826
1,87,639.939746
1,88,684.990467
1,89,730.434604
1,90,559.089906
1,91,542.840396
1,92,544.392163
1,93,571.745067
1,94,578.716502
1,95,627.158400
1,96,661.418179
1,97,699.593869
1,98,740.651007
1,99,755.431116
2,3,76.432494
2,4,124.144783
2,5,170.469345
2,6,234.264854
2,7,315.613598
2,8,355.771958
2,9,425.564351
2,10,135.983519
2,11,83.176504
2,12,88.002157
2,13,87.757794
2,14,150.391993
2,15,199.508607
2,16,276.461326
2,17,317.142133
2,18,394.839526
2,19,432.273180
2,20,178.195488
2,21,126.447147
2,22,133.889384
2,23,138.074526
2,24,202.653703
2,25,229.672412
2,26,263.616627
2,27,346.784420
2,28,422.539741
2,29,444.289039
2,30,222.881195
2,31,196.892629
2,32,171.855121
2,33,218.828781
2,34,235.291302
2,35,254.397750
2,36,310.065793
2,37,391.685364
2,38,434.820233
2,39,482.768272
2,40,270.690932
2,41,260.084834
2,42,263.123967
2,43,268.182326
2,44,309.822769
2,45,338.628548
2,46,362.091651
2,47,426.461519
2,48,447.782704
2,49,526.595415
2,50,311.577069
2,51,303.355924
2,52,316.351640
2,53,305.981997
2,54,353.137621
2,55,373.432955
2,56,425.647978
2,57,447.223921
2,58,510.891921
2,59,552.169294
2,60,358.770368
2,61,363.043084
2,62,359.130038
2,63,385.064911
2,64,407.379177
2,65,444.961925
2,66,461.838947
2,67,505.240000
2,68,545.296473
2,69,576.048276
2,70,424.141629
2,71,419.849538
2,72,446.166233
2,73,453.888658
2,74,472.099763
2,75,492.827583
2,76,509.024821
2,77,565.150145
2,78,590.499974
2,79,642.211334
2,80,502.445301
2,81,487.972581
2,82,493.461229
2,83,513.545169
2,84,520.592837
2,85,555.768750
2,86,561.318474
2,87,607.679223
2,88,646.977434
2,89,689.330747
2,90,565.497908
2,91,541.160773
2,92,535.621783
2,93,557.447775
2,94,561.811050
2,95,604.331862
2,96,632.521436
2,97,668.490241
2,98,705.223310
2,99,717.157327
3,4,48.420010
3,5,95.851621
3,6,158.263543
3,7,240.948193
3,8,280.069137
3,9,349.533643
3,10,209.762397
3,11,148.014689
3,12,104.716693
3,13,57.468741
3,14,91.300265
3,15,136.651734
3,16,204.833147
3,17,245.792751
3,18,321.296327
3,19,359.645869
3,20,237.881438
3,21,177.124964
3,22,143.784174
3,23,117.131814
3,24,163.226673
3,25,178.309377
3,26,202.020248
3,27,278.938437
3,28,354.727314
3,29,374.913373
3,30,271.643193
3,31,231.845129
3,32,189.510494
3,33,206.210693
3,34,203.860813
3,35,212.236879
3,36,259.375931
3,37,334.247572
3,38,373.101042
3,39,416.934112
3,40,310.927411
3,41,282.450985
3,42,274.261285
3,43,265.180417
3,44,283.360415
3,45,302.010999
3,46,318.189258
3,47,373.170917
3,48,389.624143
3,49,464.215356
3,50,351.718905
3,51,327.530718
3,52,329.302790
3,53,295.931210
3,54,336.990852
3,55,345.486864
3,56,385.069591
3,57,398.517752
3,58,456.801814
3,59,496.395801
3,60,387.233515
3,61,381.480908
3,62,362.565316
3,63,383.975987
3,64,390.208499
3,65,416.416229
3,66,429.151219
3,67,465.075523
3,68,499.113899
3,69,524.586993
3,70,451.994313
3,71,439.010027
3,72,449.832815
3,73,448.932888
3,74,459.515333
3,75,469.387697
3,76,474.788669
3,77,525.500442
3,78,548.822593
3,79,595.237898
3,80,525.445479
3,81,503.238451
3,82,497.681927
3,83,508.197496
3,84,506.085586
3,85,533.950325
3,86,532.556785
3,87,576.024635
3,88,606.070519
3,89,643.234957
3,90,587.407646
3,91,553.252324
3,92,538.511622
3,93,552.468110
3,94,553.143975
3,95,586.651978
